Tagalog,Translation
minana,ang
ibabawas,sa
naalis,sa
magtalaga,ginbakal
binilhan,amo
gramo,sining
idaragdag,mahigko
buwis,sing
idagdag,ang
ipinalit,pagbayluhan
sisiyasatin,pagbayluhan
